City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-10.54,84,100,7.79,RU,1711875548
1,mar del plata,-38.0023,-57.5575,14.93,63,0,1.79,AR,1711874984
2,fort wellington,6.4,-57.6,26.28,82,98,2.76,GY,1711875549
3,thinadhoo,0.5333,72.9333,29.12,72,12,2.93,MV,1711875549
4,necochea,-38.5473,-58.7368,13.81,58,100,2.29,AR,1711875482
5,malango,-2.9627,119.9001,24.71,95,80,0.82,ID,1711875550
6,richards bay,-28.783,32.0377,26.46,57,70,5.61,ZA,1711875550
7,port-aux-francais,-49.35,70.2167,4.06,74,100,6.16,TF,1711875551
8,ushuaia,-54.8,-68.3,5.81,75,40,3.09,AR,1711875327
9,dudinka,69.4058,86.1778,-11.85,97,100,1.79,RU,1711875410
10,edinburgh of the seven seas,-37.0676,-12.3116,15.49,66,20,3.93,SH,1711875552
11,port mathurin,-19.6833,63.4167,27.56,82,34,5.06,MU,1711875553
12,cuatro cienegas de carranza,26.9833,-102.0833,20.63,52,40,1.06,MX,1711875553
13,n'dalatando,-9.2978,14.9116,24.3,86,100,0.81,AO,1711875554
14,papatowai,-46.5619,169.4708,10.23,81,100,0.89,NZ,1711875554
15,waitangi,-43.9535,-176.5597,14.34,97,100,3.58,NZ,1711875555
16,blackmans bay,-43.0167,147.3167,17.07,82,80,1.53,AU,1711875529
17,puerto natales,-51.7236,-72.4875,6.22,78,99,7.99,CL,1711875555
18,albany,42.6001,-73.9662,4.96,63,67,2.42,US,1711875556
19,huarmey,-10.0681,-78.1522,22.4,86,95,3.7,PE,1711875556
20,anadyr,64.75,177.4833,-21.67,83,40,4.92,RU,1711875461
21,grytviken,-54.2811,-36.5092,-1.27,75,18,4.49,GS,1711875557
22,emerald,-23.5333,148.1667,26.3,48,98,5.02,AU,1711875540
23,axim,4.8699,-2.2405,30.17,66,87,2.35,GH,1711875558
24,west island,-12.1568,96.8225,29.99,74,100,5.66,CC,1711875558
25,wailua homesteads,22.0669,-159.378,22.44,84,100,5.66,US,1711875559
26,constitucion,-35.3333,-72.4167,12.73,59,72,2.91,CL,1711875559
27,bredasdorp,-34.5322,20.0403,29.23,34,5,2.25,ZA,1711875560
28,al ghayzah,16.2079,52.176,29.28,46,71,5.32,YE,1711875560
29,kingston,17.997,-76.7936,26.53,74,20,3.09,JM,1711875560
30,chegdomyn,51.1167,133.0167,-2.29,89,100,2.17,RU,1711875561
31,vernon,50.2581,-119.2691,3.75,70,32,1.54,CA,1711875561
32,yellowknife,62.456,-114.3525,-15.71,72,0,3.6,CA,1711875472
33,bonthe,7.5264,-12.505,28.39,58,74,0.64,SL,1711875562
34,bethel,41.3712,-73.414,8.85,54,40,2.06,US,1711875562
35,ilhabela,-23.7781,-45.3581,21.65,85,4,0.76,BR,1711875563
36,east london,-33.0153,27.9116,26.52,61,0,4.63,ZA,1711875563
37,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,88,75,6.0,RU,1711875564
38,crateus,-5.1783,-40.6775,22.11,97,100,0.66,BR,1711875510
39,ugoofaaru,5.6667,73.0,29.41,72,8,4.14,MV,1711875565
40,mossendjo,-2.9506,12.7261,27.11,70,100,0.91,CG,1711875565
41,invercargill,-46.4,168.35,9.45,89,100,0.78,NZ,1711874864
42,kaa-khem,51.6833,94.7333,1.89,98,100,0.89,RU,1711875566
43,gurupi,-11.7292,-49.0686,23.07,94,68,0.83,BR,1711875566
44,fale old settlement,-9.3852,-171.2468,29.68,73,6,4.08,TK,1711875567
45,lihue,21.9789,-159.3672,22.77,82,100,5.66,US,1711875389
46,aral,40.5156,81.2636,18.59,30,100,6.31,CN,1711875567
47,whitehorse,60.7161,-135.0538,3.43,65,40,9.26,CA,1711875568
48,ciudad lazaro cardenas,17.9583,-102.2,22.08,73,7,1.51,MX,1711875568
49,la ciotat,43.1748,5.6045,14.94,94,81,6.32,FR,1711875459
50,baganga,7.5739,126.56,27.8,74,48,2.05,PH,1711875569
51,ponta delgada,37.7333,-25.6667,11.4,62,20,3.09,PT,1711875544
52,sferracavallo,42.726,12.0956,18.84,89,100,6.02,IT,1711875570
53,nar'yan-mar,67.6713,53.087,-8.27,87,100,3.58,RU,1711875571
54,gitega,-3.5,29.95,18.14,92,100,0.77,BI,1711875571
55,tirumullaivasal,11.2333,79.8333,31.55,61,45,6.49,IN,1711875572
